Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	37	21	0.87432	0.11961	4.723e+02	2.84	GO:0046364
2	70	34	0.62971	0.22171	1.887e+03	1.983	GO:0031145
3	71	35	0.43751	0.2657	1.922e+03	2.026	GO:0006613
4	53	27	0.25028	0.14214	1.051e+03	2.447	GO:0007051
5	71	34	0.17658	0.10821	1.959e+03	2.082	GO:0045047
6	69	33	0.12159	0.16109	1.853e+03	1.996	GO:0006614
7	21	12	0.09253	0.07474	1.539e+02	3.012	GO:0007052
8	22	12	0.08532	0.05613	1.758e+02	2.585	GO:0048008
9	72	34	0.08318	0.07831	2.033e+03	2.057	GO:0072599
10	22	12	0.06406	0.08887	1.758e+02	2.461	GO:0060334
11	20	11	0.06322	0.03935	1.449e+02	2.213	GO:0043666
12	21	11	0.05834	0.03736	1.658e+02	1.969	GO:0006270
13	31	16	0.05499	0.06776	3.605e+02	2.314	GO:0030397
14	21	11	0.05441	0.05076	1.658e+02	3.566	GO:0051693
15	30	15	0.05105	0.03008	3.455e+02	2.617	GO:0045646
16	30	15	0.04905	0.04998	3.455e+02	1.978	GO:0006334
17	23	12	0.04894	0.02795	1.988e+02	2.391	GO:0060330
18	26	13	0.04042	0.03587	2.607e+02	3.471	GO:0001954
19	21	11	0.03694	0.0372	1.658e+02	3.566	GO:0030835
20	24	12	0.03559	0.02238	2.227e+02	2.713	GO:0022409
21	31	14	0.02111	0.0337	3.954e+02	3.396	GO:1901888
22	23	11	0.01652	0.02527	2.118e+02	2.913	GO:0034446
23	32	17	0.01521	0.0187	3.754e+02	2.855	GO:0019319
24	63	30	0.01506	0.01814	1.551e+03	1.953	GO:0006414
25	62	29	0.01405	0.01739	1.520e+03	1.922	GO:0019058
26	21	11	0.01304	0.01863	1.658e+02	2.784	GO:0030511
27	63	28	0.012	0.01589	1.622e+03	1.866	GO:0051437
28	24	12	0.0115	0.00922	2.227e+02	2.65	GO:0014910
29	25	12	0.00965	0.0109	2.487e+02	3.291	GO:0030834
30	34	15	0.00809	0.01618	4.811e+02	1.731	GO:0006767
31	73	33	0.00787	0.01084	2.149e+03	2.793	GO:0002576
32	27	12	0.00462	0.00566	3.046e+02	3.269	GO:0010633
33	25	10	0.00379	0.00758	2.796e+02	2.56	GO:0050732
34	55	26	0.00371	0.00624	1.191e+03	1.993	GO:0006415
35	55	25	0.00353	0.00706	1.222e+03	1.903	GO:0019083
36	27	12	0.00341	0.00682	3.046e+02	1.96	GO:0006284
37	60	27	0.00287	0.00574	1.461e+03	1.829	GO:0051436
38	50	23	0.00257	0.00414	1.003e+03	2.769	GO:0010811
39	24	10	0.00191	0.00382	2.517e+02	2.166	GO:2001244
40	29	14	0.0019	0.00379	3.315e+02	1.984	GO:0007077
41	35	15	0.00166	0.00331	5.190e+02	1.847	GO:0006901
42	26	11	0.00158	0.00315	2.916e+02	2.613	GO:0048286
43	28	13	0.00151	0.00302	3.175e+02	3.022	GO:0007566
44	25	9	0.00142	0.00283	2.965e+02	2.233	GO:0051225
45	28	13	0.0013	0.00261	3.175e+02	2.427	GO:0042451
46	20	9	0.0011	0.00219	1.678e+02	1.83	GO:0000722
47	25	11	0.00102	0.00203	2.636e+02	3.111	GO:0001569
48	24	10	0.00099	0.00198	2.517e+02	2.135	GO:0045104
49	20	7	0.00093	0.00186	1.947e+02	1.676	GO:0015909
50	37	16	0.0009	0.00181	5.759e+02	2.02	GO:0001508
51	23	9	0.0009	0.00181	2.407e+02	3.142	GO:0035162
52	37	18	0.00085	0.0017	5.330e+02	2.153	GO:0006998
53	64	28	0.0005	0.00099	1.689e+03	1.849	GO:0051352
54	38	16	0.00042	0.00085	6.167e+02	2.253	GO:0009163
55	24	10	0.00036	0.00072	2.517e+02	3.091	GO:0010596
56	23	10	0.00036	0.00072	2.257e+02	2.306	GO:0070670
57	29	12	0.00032	0.00064	3.664e+02	2.198	GO:0071277
58	22	9	0.00024	0.00048	2.147e+02	2.618	GO:0043534
59	22	9	0.00017	0.00034	2.147e+02	2.104	GO:0010771
60	20	8	0.00015	0.0003	1.808e+02	2.135	GO:0000083
61	29	13	0.00013	0.00026	3.485e+02	3.282	GO:0030837
62	27	12	0.00012	0.00024	3.046e+02	2.087	GO:0035637
63	24	10	9e-05	0.00018	2.517e+02	1.811	GO:0006890
64	70	30	2e-05	3e-05	2.043e+03	1.783	GO:0051443
