Gene ID	Gene Name	Design Element	g4_g1.p-value	g4_g1.t-statistic	g4_g1.log2foldchange	g4_g2.p-value	g4_g2.t-statistic	g4_g2.log2foldchange	g4_g5.p-value	g4_g5.t-statistic	g4_g5.log2foldchange
ENSG00000000003	TSPAN6	209108_at	8.1467206373076e-30	14.6750234395536	2	9.32045994813514e-31	13.8703311402261	1.9	3.74012700441044e-19	12.2211095367757	1.7
ENSG00000000005	TNMD	220065_at	0.0222216842033738	-2.51523878589998	-0.1	0.161110702781124	-1.5323673028771	-0.1	0.00283492966066856	-3.34533552254082	-0.2
ENSG00000000419	DPM1	202673_at	0.699705145828422	0.459151355264672	0	0.000757074621430062	3.59661916305572	0.3	0.238881753329235	1.3601715044415	0.1
ENSG00000000457	SCYL3	205607_s_at	6.55793579458991e-08	5.96791070581783	0.3	4.26124694095737e-09	6.34533459721598	0.3	2.24172798667499e-07	5.98861379958181	0.4
ENSG00000000460	C1orf112	220840_s_at	2.03121670884982e-10	7.11271238278406	0.5	8.54990918155011e-15	8.57871089916092	0.7	8.46267411958645e-05	4.44018135321312	0.5
ENSG00000000938	FGR	208438_s_at	0.188538047369419	1.47838637477928	0.1	0.0038353240683319	3.09317990449514	0.3	0.928408893627865	-0.115049164861069	0
ENSG00000000971	CFH	213800_at	0.760989846847146	-0.367174124745186	-0.1	0.0162214113810417	2.58103138344054	0.4	0.150650108285037	-1.64280411959577	-0.2
ENSG00000001036	FUCA2	223120_at	0.259830163548203	1.27563741061966	0.2	3.33563822510648e-13	7.99318181997853	0.9	0.120774963928731	-1.76620671187271	-0.3
ENSG00000001084	GCLC	202923_s_at	0.000406909603211208	3.8637332239299	0.5	0.96246268523155	-0.0565757719714756	0	0.0576511115816494	2.14520605744049	0.4
ENSG00000001167	NFYA	204108_at	0.167739969674184	1.54763771109077	0.1	0.000908212554947384	3.54336002787315	0.2	3.69434831284102e-05	4.67332914597492	0.3
ENSG00000001460	STPG1	227694_at	1.06121499905917e-15	-9.27215480391773	-0.9	1.25421307752685e-10	-6.98686127056909	-0.8	2.08358379782834e-15	-10.2116898753606	-1.1
ENSG00000001461	NIPAL3	225876_at	1.44432190506245e-11	-7.60387528219759	-1.3	4.24530362659941e-08	-5.89952973435906	-1.1	1.10215365026214e-10	-7.76736722600265	-1.5
ENSG00000001497	LAS1L	208117_s_at	9.2706661052899e-14	8.50195266163976	0.5	3.05817994187602e-17	9.44144809825632	0.6	1.2775872059153e-11	8.25139671424843	0.5
ENSG00000001561	ENPP4	204160_s_at	0.000103246440383022	-4.24564130268526	-0.7	1.91445489881884e-05	-4.57044721047395	-1.1	0.000883486961311477	-3.7338490963714	-0.7
