Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Term Name
1	57	28	1.0	0.0	1.247e+03	0.495	digestion
2	111	49	1.0	0.0	5.025e+03	0.334	carbohydrate catabolic process
3	51	23	1.0	0.0	1.058e+03	0.59	O-glycan processing
4	20	11	1.0	0.0	1.449e+02	0.586	calcium-independent cell-cell adhesion
5	40	19	1.0	0.0	6.323e+02	0.592	endocrine pancreas development
6	102	56	0.93627	0.13819	3.649e+03	0.42	cellular amino acid biosynthetic process
7	109	48	0.9	0.3	4.853e+03	0.5	epidermis development
8	97	54	0.88356	0.29857	3.261e+03	0.513	nucleosome assembly
9	25	13	0.83761	0.19106	2.348e+02	0.404	tumor necrosis factor-mediated signaling pathway
10	87	35	0.75006	0.21907	3.271e+03	0.064	neuropeptide signaling pathway
11	155	68	0.70073	0.38645	9.800e+03	0.295	skeletal system development
12	35	21	0.62752	0.298	3.997e+02	0.615	DNA strand elongation
13	23	13	0.61429	0.34987	1.859e+02	0.489	regulation of transcription involved in G1/S transition of mitotic cell cycle
14	31	18	0.59637	0.35374	3.258e+02	0.211	central nervous system neuron development
15	38	17	0.59586	0.38054	5.943e+02	0.082	peripheral nervous system development
16	20	11	0.59142	0.20894	1.449e+02	0.629	positive regulation of tissue remodeling
17	25	17	0.54964	0.40991	1.729e+02	0.543	regulation of mesonephros development
18	25	15	0.51985	0.33026	2.059e+02	0.635	regulation of chromosome segregation
19	84	46	0.49666	0.49675	2.485e+03	0.519	chromosome segregation
20	70	40	0.46302	0.47469	1.663e+03	0.764	collagen catabolic process
21	40	24	0.4264	0.28538	5.205e+02	0.481	purine nucleobase metabolic process
22	36	15	0.42517	0.38654	5.584e+02	0.373	neurogenesis
23	120	54	0.38074	0.44173	5.798e+03	0.337	regulation of nuclear division
24	20	11	0.34367	0.25711	1.449e+02	0.336	retinoic acid metabolic process
25	77	42	0.3388	0.446	2.097e+03	0.664	multicellular organismal catabolic process
26	21	15	0.28577	0.37657	1.120e+02	0.852	sister chromatid segregation
27	25	11	0.25627	0.32678	2.638e+02	0.659	proximal/distal pattern formation
28	22	11	0.23444	0.26033	1.879e+02	0.342	glycerol metabolic process
29	24	12	0.22525	0.24163	2.228e+02	0.355	alditol metabolic process
30	78	42	0.2	0.4	2.175e+03	0.628	extracellular matrix disassembly
31	34	19	0.17648	0.13818	4.057e+02	0.484	base-excision repair
