Gene ID	Gene Name	Design Element	g1_g2.p-value	g1_g2.t-statistic	g1_g2.log2foldchange
ENSG00000000003	TSPAN6	209109_s_at	NA	-1.60994143473313	0
ENSG00000000005	TNMD	220065_at	NA	1.72282043458364	0.1
ENSG00000000419	DPM1	202673_at	NA	-1.7681849542226	-0.1
ENSG00000000457	SCYL3	205607_s_at	NA	-2.89773316158554	-0.1
ENSG00000000460	C1orf112	220840_s_at	NA	-1.26111897855787	-0.1
ENSG00000000938	FGR	208438_s_at	NA	-0.639774064915	0
ENSG00000000971	CFH	213800_at	NA	1.01858577598117	0
ENSG00000001036	FUCA2	223120_at	NA	-0.522775725081621	0
ENSG00000001084	GCLC	202923_s_at	NA	-1.45448657149741	-0.1
ENSG00000001167	NFYA	204108_at	NA	-1.4783741936549	-0.1
ENSG00000001460	STPG1	227694_at	NA	1.23363063202259	0
ENSG00000001461	NIPAL3	214579_at	NA	0.33020305870542	0
ENSG00000001497	LAS1L	208117_s_at	NA	0.793139142327577	0
ENSG00000001561	ENPP4	204160_s_at	NA	-0.876777152674657	-0.1
ENSG00000001617	SEMA3F	35666_at	NA	0.694251431776785	0
ENSG00000001626	CFTR	205043_at	NA	0.354461491578079	0
ENSG00000001629	ANKIB1	224687_at	NA	-1.48847660413259	-0.1
ENSG00000002016	RAD52	211904_x_at	NA	1.8011895887994	0.1
ENSG00000002079	MYH16	1564072_at	NA	1.72516879336071	0.1
ENSG00000002330	BAD	209364_at	NA	0.209034569490622	0
ENSG00000002549	LAP3	217933_s_at	NA	-1.78490423233186	-0.1
ENSG00000002586	CD99	201029_s_at	NA	0.655138932602432	0
ENSG00000002587	HS3ST1	205466_s_at	NA	-0.0399962753538138	0
ENSG00000002726	AOC1	203559_s_at	NA	1.08230623782865	0
ENSG00000002745	WNT16	221113_s_at	NA	0.754436593734302	0
ENSG00000002746	HECW1	215584_at	NA	0.657233342285796	0
ENSG00000002834	LASP1	200618_at	NA	-1.23399066366011	-0.1
ENSG00000002919	SNX11	53912_at	NA	0.368575025427331	0
ENSG00000002933	TMEM176A	218345_at	NA	2.13597803932537	0.1
ENSG00000003056	M6PR	200900_s_at	NA	0.292389370127328	0
ENSG00000003096	KLHL13	227875_at	NA	-0.697545909543536	0
ENSG00000003137	CYP26B1	234721_s_at	NA	1.08789423155926	0
ENSG00000003147	ICA1	210547_x_at	NA	1.13990486598901	0
ENSG00000003249	DBNDD1	222234_s_at	NA	0.800942758851741	0
ENSG00000003393	ALS2	226291_at	NA	-1.84491274551461	-0.1
ENSG00000003400	CASP10	205467_at	NA	-2.28032384596213	-0.1
ENSG00000003402	CFLAR	209939_x_at	NA	-0.0736774352560903	0
ENSG00000003436	TFPI	210664_s_at	NA	1.69224218894424	0.1
ENSG00000003509	NDUFAF7	223560_s_at	NA	-1.08129575469925	-0.1
ENSG00000003756	RBM5	201395_at	NA	-1.48788527312206	0
ENSG00000003987	MTMR7	243804_at	NA	-0.7902654330614	0
ENSG00000003989	SLC7A2	225516_at	NA	0.22675356549094	0
ENSG00000004139	SARM1	213259_s_at	NA	0.341620974525992	0
ENSG00000004142	POLDIP2	222425_s_at	NA	-0.382852041257066	0
ENSG00000004399	PLXND1	38671_at	NA	0.977631247811108	0
ENSG00000004455	AK2	212174_at	NA	-0.917909271878042	-0.1
ENSG00000004468	CD38	205692_s_at	NA	-2.35105762148992	-0.2
ENSG00000004478	FKBP4	200895_s_at	NA	1.22195983854935	0.1
ENSG00000004487	KDM1A	212348_s_at	NA	-0.512316798484928	0
ENSG00000004534	RBM6	201967_at	NA	-0.864687623305484	0
ENSG00000004660	CAMKK1	223460_at	NA	0.451467513385458	0
ENSG00000004700	RECQL	212918_at	NA	-1.45644037580055	-0.1
ENSG00000004766	VPS50	226031_at	NA	-1.96974524789499	-0.1
ENSG00000004776	HSPB6	214767_s_at	NA	1.56161619101446	0.1
ENSG00000004777	ARHGAP33	213827_at	NA	-2.04763918668672	-0.1
ENSG00000004779	NDUFAB1	202077_at	NA	-0.742578732259817	0
ENSG00000004799	PDK4	205960_at	NA	0.21993152533927	0
ENSG00000004809	SLC22A16	232232_s_at	NA	0.960384372226898	0
ENSG00000004846	ABCB5	1555371_at	NA	0.435415040871274	0
ENSG00000004848	ARX	238878_at	NA	1.38342783635776	0
ENSG00000004864	SLC25A13	203775_at	NA	-1.48585599200798	-0.1
ENSG00000004866	ST7	207871_s_at	NA	-1.21070196935119	-0.1
ENSG00000004897	CDC27	217879_at	NA	-1.4231740505994	-0.1
ENSG00000004939	SLC4A1	205592_at	NA	1.25811929764123	0
ENSG00000004948	CALCR	207887_s_at	NA	-0.41089892951339	0
ENSG00000004961	HCCS	203746_s_at	NA	-1.81023378251677	-0.1
ENSG00000004975	DVL2	57532_at	NA	-0.136661156614332	0
ENSG00000005001	PRSS22	205847_at	NA	1.95794593455777	0.1
ENSG00000005007	UPF1	211168_s_at	NA	0.41393797638295	0
ENSG00000005020	SKAP2	204362_at	NA	-0.295244585270053	0
ENSG00000005022	SLC25A5	200657_at	NA	-1.29663684458079	0
ENSG00000005059	MCUB	218802_at	NA	-1.76745316522645	-0.1
ENSG00000005073	HOXA11	213823_at	NA	0.679209058571205	0
ENSG00000005100	DHX33	222875_at	NA	-1.08310206879998	-0.1
ENSG00000005102	MEOX1	205619_s_at	NA	-0.762380480468908	0
ENSG00000005108	THSD7A	230008_at	NA	-1.23940399194373	0
ENSG00000005156	LIG3	204123_at	NA	0.458417334983401	0
ENSG00000005175	RPAP3	218842_at	NA	-1.49825458311801	-0.1
ENSG00000005187	ACSM3	210377_at	NA	-1.07911642352105	-0.1
ENSG00000005189	REXO5	208107_s_at	NA	0.525458806212851	0
ENSG00000005194	CIAPIN1	208968_s_at	NA	-1.57958602728256	-0.1
ENSG00000005206	SPPL2B	225248_at	NA	2.43808660468118	0.1
ENSG00000005238	FAM214B	211433_x_at	NA	-0.271761678467757	0
ENSG00000005243	COPZ2	219561_at	NA	0.59476309913262	0
ENSG00000005249	PRKAR2B	203680_at	NA	-0.958055810790337	0
ENSG00000005302	MSL3	207551_s_at	NA	-0.389848040353493	0
ENSG00000005339	CREBBP	202160_at	NA	-2.09622367567279	-0.1
ENSG00000005379	TSPOAP1	205839_s_at	NA	-1.05839989907483	0
ENSG00000005381	MPO	203949_at	NA	0.101523593813245	0
ENSG00000005421	PON1	206345_s_at	NA	1.91548022517735	0.1
ENSG00000005436	GCFC2	216305_s_at	NA	-0.442808544574742	0
ENSG00000005448	WDR54	225898_at	NA	-1.88282820211653	-0.1
ENSG00000005469	CROT	204573_at	NA	-0.883953940533297	0
ENSG00000005471	ABCB4	207819_s_at	NA	0.123179056116159	0
ENSG00000005483	KMT2E	223189_x_at	NA	-1.56980410035803	-0.1
ENSG00000005486	RHBDD2	232053_x_at	NA	0.445805207212565	0
ENSG00000005513	SOX8	226913_s_at	NA	1.89723229122708	0.1
ENSG00000005700	IBTK	210970_s_at	NA	-1.73083606014705	-0.1
ENSG00000005801	ZNF195	204234_s_at	NA	-1.12652017296995	-0.1
ENSG00000005810	MYCBP2	201960_s_at	NA	-1.51661052007232	-0.1
ENSG00000005812	FBXL3	225132_at	NA	-2.4754349875028	-0.1
ENSG00000005844	ITGAL	1554240_a_at	NA	-0.538162602726797	0
ENSG00000005882	PDK2	213724_s_at	NA	0.766753962276835	0
