Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	33	20	0.35873	0.27289	3.517e+02	0.64	0.545	GO:0032370
2	31	15	0.27499	0.26422	3.776e+02	0.67	0.342	GO:0051966
3	20	11	0.08031	0.17777	1.449e+02	0.674	0.454	GO:0046949
4	24	13	0.0388	0.04793	2.099e+02	0.597	0.439	GO:0060334
5	21	11	0.0387	0.03969	1.659e+02	0.634	0.394	GO:0071385
6	22	13	0.03314	0.04933	1.629e+02	0.622	0.547	GO:0010880
7	23	13	0.02602	0.04917	1.859e+02	0.625	0.459	GO:0032369
8	23	13	0.02028	0.04315	1.859e+02	0.66	0.49	GO:2000191
9	32	16	0.02019	0.03638	3.926e+02	0.584	0.473	GO:0000578
10	21	10	0.02003	0.04088	1.779e+02	0.57	0.401	GO:0021522
11	22	11	0.01744	0.02718	1.879e+02	0.624	0.394	GO:0071384
12	21	11	0.01676	0.02774	1.659e+02	0.624	0.431	GO:0000718
13	25	13	0.01541	0.03743	2.348e+02	0.58	0.439	GO:0060330
14	23	10	0.01073	0.02551	2.258e+02	0.567	0.362	GO:0006692
15	32	15	0.00832	0.01978	4.106e+02	0.6	0.453	GO:0071320
16	26	13	0.00788	0.01615	2.608e+02	0.637	0.467	GO:0035384
17	23	14	0.00768	0.01847	1.719e+02	0.677	0.596	GO:0032892
18	20	11	0.00682	0.01048	1.449e+02	0.626	0.464	GO:0021795
19	22	11	0.0062	0.01215	1.879e+02	0.598	0.435	GO:0043576
20	20	10	0.00617	0.01403	1.559e+02	0.647	0.382	GO:0008210
21	22	10	0.00487	0.01307	2.009e+02	0.573	0.394	GO:0015985
22	24	11	0.00181	0.0037	2.368e+02	0.601	0.424	GO:0035329
23	24	12	0.00161	0.00484	2.228e+02	0.628	0.495	GO:0009190
24	26	10	0.0007	0.0021	3.087e+02	0.568	0.408	GO:0018022
25	20	8	0.00054	0.00124	1.809e+02	0.635	0.265	GO:0051412
26	20	8	0.00046	0.00096	1.809e+02	0.533	0.342	GO:0045940
27	28	12	0.00043	0.0013	3.347e+02	0.559	0.447	GO:0017158
28	23	10	0.00042	0.00093	2.258e+02	0.496	0.375	GO:0042346
29	24	8	0.0004	0.0012	2.847e+02	0.547	0.379	GO:0046627
30	22	9	0.00024	0.00073	2.148e+02	0.587	0.452	GO:0035336
31	27	12	0.0002	0.00059	3.047e+02	0.537	0.455	GO:0006775
32	36	14	0.00019	0.00056	5.813e+02	0.515	0.487	GO:0006821
33	36	18	0.00018	0.00054	4.955e+02	0.607	0.57	GO:0001890
34	25	11	0.00018	0.00053	2.638e+02	0.572	0.605	GO:0030206
35	22	8	0.00017	0.00052	2.298e+02	0.545	0.251	GO:1902229
36	20	7	0.00016	0.00049	1.948e+02	0.53	0.38	GO:0060349
37	26	10	0.00016	0.00047	3.087e+02	0.565	0.371	GO:2000243
38	26	10	0.00012	0.00036	3.087e+02	0.556	0.367	GO:0002702
39	28	14	0.00012	0.00036	3.018e+02	0.643	0.5	GO:0043114
40	38	15	5e-05	0.00014	6.412e+02	0.554	0.415	GO:0006754
41	23	7	3e-05	0.0001	2.737e+02	0.458	0.359	GO:0009081
42	35	15	2e-05	7e-05	5.194e+02	0.553	0.6	GO:0002762
43	51	24	2e-05	5e-05	1.029e+03	0.612	0.508	GO:0044070
44	39	16	1e-05	4e-05	6.601e+02	0.586	0.541	GO:0032411
