Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	90	47	0.99864	0.00407	2.960e+03	0.589	0.452	GO:0070374
2	20	13	0.87027	0.15361	1.199e+02	0.692	0.415	GO:0008210
3	20	13	0.52722	0.3655	1.199e+02	0.678	0.335	GO:0048546
4	43	24	0.50968	0.3572	6.462e+02	0.601	0.505	GO:0046460
5	25	13	0.42276	0.30157	2.348e+02	0.6	0.451	GO:0006656
6	49	23	0.36697	0.27239	9.525e+02	0.535	0.436	GO:0008637
7	24	13	0.32238	0.219	2.099e+02	0.615	0.404	GO:0035162
8	20	11	0.31806	0.29417	1.449e+02	0.654	0.345	GO:0045577
9	20	11	0.27053	0.16304	1.449e+02	0.642	0.41	GO:0000413
10	42	19	0.20004	0.2081	7.190e+02	0.549	0.356	GO:0010332
11	69	32	0.17594	0.2131	1.893e+03	0.547	0.424	GO:0048514
12	20	10	0.16822	0.13858	1.559e+02	0.616	0.335	GO:0007031
13	31	15	0.1435	0.11009	3.776e+02	0.62	0.391	GO:0000387
14	20	9	0.13772	0.09006	1.679e+02	0.591	0.302	GO:0015721
15	30	14	0.11136	0.11591	3.626e+02	0.596	0.374	GO:0032508
16	41	23	0.10621	0.13137	5.853e+02	0.604	0.526	GO:0019432
17	21	11	0.09505	0.08336	1.659e+02	0.652	0.415	GO:0046135
18	23	11	0.09348	0.08701	2.118e+02	0.584	0.299	GO:0051180
19	34	18	0.08468	0.12671	4.246e+02	0.629	0.451	GO:0014015
20	20	10	0.06112	0.10649	1.559e+02	0.548	0.467	GO:0002262
21	20	11	0.0609	0.08767	1.449e+02	0.607	0.483	GO:0031497
22	30	15	0.0579	0.079	3.457e+02	0.573	0.434	GO:0018208
23	23	13	0.0559	0.0826	1.859e+02	0.64	0.464	GO:0030316
24	20	9	0.05075	0.06493	1.679e+02	0.585	0.3	GO:0000381
25	78	39	0.03923	0.04678	2.297e+03	0.571	0.495	GO:0007565
26	31	15	0.03144	0.05272	3.776e+02	0.606	0.418	GO:0072529
27	26	14	0.02631	0.0332	2.468e+02	0.574	0.527	GO:0045814
28	21	11	0.02556	0.04756	1.659e+02	0.639	0.431	GO:0060412
29	76	38	0.02234	0.0372	2.181e+03	0.576	0.521	GO:0002573
30	32	17	0.02227	0.02911	3.756e+02	0.598	0.54	GO:0031572
31	32	14	0.01978	0.03279	4.295e+02	0.585	0.374	GO:0032392
32	20	10	0.0193	0.02528	1.559e+02	0.599	0.451	GO:0042744
33	29	15	0.01619	0.02042	3.157e+02	0.552	0.531	GO:0008361
34	26	12	0.01576	0.0309	2.758e+02	0.533	0.411	GO:0006904
35	23	11	0.0153	0.01925	2.118e+02	0.553	0.422	GO:0000060
36	24	12	0.01516	0.02365	2.228e+02	0.6	0.503	GO:0001892
37	23	11	0.0121	0.01665	2.118e+02	0.562	0.441	GO:1901661
38	32	16	0.01164	0.02846	3.926e+02	0.602	0.439	GO:0045620
39	29	13	0.01084	0.02038	3.487e+02	0.541	0.413	GO:0048278
40	28	13	0.01046	0.01993	3.177e+02	0.596	0.428	GO:1903309
41	32	15	0.01012	0.01638	4.106e+02	0.582	0.434	GO:0030101
42	27	13	0.00952	0.01587	2.887e+02	0.643	0.442	GO:0034453
