Creation Time:	2023-01-04 16:42:54

INPUT:
File name:	crfe_v019_b5.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/random/random3.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.3
threshold type:	proportion
belief:	5.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.3
Maximal possible value for alpha and beta:	0.3
Probability parameter change:	0.2
seed for RNG:	864465717

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	3511
Proportion perturbed genes:	0.2999829118250171

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3
beta (FNR):	0.3
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-7456.152107272389 +- 0.1802107988512944

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	21	12	0.33883	0.28843	1.539e+02	0.647	0.346	GO:2000351
2	23	12	0.03542	0.07456	1.989e+02	0.614	0.448	GO:0030316
3	31	18	0.02357	0.05002	3.257e+02	0.631	0.572	GO:0072529
4	22	11	0.01084	0.02809	1.879e+02	0.547	0.397	GO:0035924
5	20	11	0.00875	0.01864	1.449e+02	0.686	0.528	GO:0002861
6	38	18	0.00841	0.02524	5.723e+02	0.596	0.432	GO:0030049
7	24	10	0.00463	0.01388	2.518e+02	0.526	0.262	GO:0050918
8	20	10	0.00381	0.00846	1.559e+02	0.583	0.413	GO:0051953
9	20	10	0.00381	0.01142	1.559e+02	0.605	0.518	GO:2000108
10	26	11	0.0037	0.01109	2.917e+02	0.576	0.392	GO:0045806
11	31	13	0.00126	0.00378	4.146e+02	0.62	0.406	GO:0051004
12	21	9	0.00121	0.00362	1.909e+02	0.558	0.379	GO:0051220
13	45	19	0.00119	0.00358	8.607e+02	0.558	0.415	GO:0070252
14	33	14	0.001	0.00301	4.655e+02	0.572	0.339	GO:0006271
15	26	11	0.00098	0.00294	2.917e+02	0.542	0.41	GO:1900077
16	24	11	0.00073	0.0022	2.368e+02	0.602	0.495	GO:0001916
