Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Term Name
1	38	22	1.0	0.0	4.886e+02	1.478	digestion
2	98	42	1.0	0.0	3.993e+03	0.569	epidermis development
3	41	19	0.93833	0.08572	6.752e+02	0.448	cell fate specification
4	44	25	0.9	0.3	6.653e+02	1.016	chromatin assembly or disassembly
5	23	13	0.88916	0.12685	1.859e+02	1.119	regulation of transcription involved in G1/S transition of mitotic cell cycle
6	49	23	0.88344	0.29859	9.527e+02	0.972	O-glycan processing
7	81	38	0.86248	0.30849	2.584e+03	0.994	chromosome segregation
8	32	14	0.84084	0.26682	4.296e+02	0.8	drug metabolic process
9	20	9	0.77028	0.22533	1.679e+02	0.547	calcium-independent cell-cell adhesion
10	66	28	0.74247	0.37797	1.832e+03	0.795	collagen catabolic process
11	33	14	0.70942	0.33274	4.655e+02	0.667	placenta development
12	33	23	0.67032	0.43953	2.858e+02	1.002	DNA strand elongation involved in DNA replication
13	37	20	0.62684	0.35782	4.935e+02	0.575	glycolytic process
14	26	14	0.62572	0.41197	2.468e+02	1.072	chromosome condensation
15	25	13	0.59552	0.33673	2.348e+02	1.3	regulation of chromosome segregation
16	32	15	0.58053	0.40794	4.106e+02	0.332	peripheral nervous system development
17	21	11	0.38971	0.37055	1.659e+02	0.778	sympathetic nervous system development
18	21	9	0.34658	0.28982	1.909e+02	0.899	regulation of calcium ion-dependent exocytosis
19	35	23	0.32968	0.43953	3.548e+02	0.952	DNA strand elongation
20	41	17	0.21272	0.18971	7.241e+02	0.731	recombinational repair
21	73	30	0.20123	0.34017	2.281e+03	0.734	multicellular organismal catabolic process
22	41	17	0.19387	0.20337	7.241e+02	0.731	double-strand break repair via homologous recombination
23	20	9	0.18745	0.26454	1.679e+02	0.782	regulation of branching involved in ureteric bud morphogenesis
24	38	16	0.1635	0.19215	6.173e+02	0.338	excretion
25	69	28	0.11656	0.29859	2.055e+03	0.707	protein O-linked glycosylation
26	21	14	0.10674	0.27168	1.269e+02	1.584	sister chromatid segregation
27	75	33	0.09781	0.29344	2.310e+03	0.669	nucleosome assembly
