Creation Time:	2022-12-29 16:29:13

INPUT:
File name:	/home/ahphan/RotationData/Kadelka/CRFE/gith/crfe_v017.py
Annotations file:	data/GOhuman_ft_named.txt
Gene file:	data/GSE40419_tumor_normal_deseq2_log2fc-overexp.txt
lower limit annotations/process:	20
upper limit annotations/process:	500
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.8
threshold type:	proportion
belief:	2.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.3548387096774194
Maximal possible value for alpha and beta:	0.3548387096774194
Probability parameter change:	0.2
seed for RNG:	3207313394

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2410
Total number of genes:	10923
Number of perturbed genes:	8738
Proportion perturbed genes:	0.799963380023803

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3548387096774194
beta (FNR):	0.1774193548387097
q (penalization parameter):	0.004


Best log-likelihood value (mean +- standard deviation across replicates):	-6282.568737615176 +- 12.036930673411996

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Term Name
1	374	361	1.0	0.0	4.584e+03	0.685	mitotic cell cycle
2	352	340	1.0	0.0	3.995e+03	0.453	DNA repair
3	306	251	1.0	0.0	1.486e+04	0.072	transcription from RNA polymerase II promoter
4	246	244	1.0	0.0	4.782e+02	0.26	translation
5	179	160	1.0	0.0	3.168e+03	0.22	protein folding
6	459	340	1.0	0.0	4.541e+04	0.042	protein phosphorylation
7	372	322	1.0	0.0	1.669e+04	0.291	cellular amino acid metabolic process
8	403	297	1.0	0.0	3.566e+04	-0.059	small GTPase mediated signal transduction
9	315	227	1.0	0.0	2.315e+04	0.019	synaptic transmission
10	382	298	1.0	0.0	2.749e+04	0.118	multicellular organismal development
11	284	205	1.0	0.0	1.881e+04	0.106	sensory perception
12	132	116	1.0	0.0	1.965e+03	-0.025	endosomal transport
13	378	344	1.0	0.0	1.178e+04	0.248	chromatin modification
14	393	344	1.0	0.0	1.732e+04	0.288	cellular macromolecular complex assembly
15	225	206	1.0	0.0	4.004e+03	0.29	cofactor metabolic process
16	165	146	0.99637	0.01088	2.912e+03	0.089	Golgi vesicle transport
17	297	256	0.99604	0.01188	1.100e+04	0.334	cellular component disassembly
18	405	337	0.99274	0.01879	2.419e+04	0.276	monocarboxylic acid metabolic process
19	444	360	0.99273	0.0218	3.225e+04	0.101	peptidyl-amino acid modification
20	345	293	0.99	0.02999	1.601e+04	0.333	microtubule-based process
21	331	239	0.98522	0.04434	2.540e+04	0.02	metal ion transport
22	456	413	0.9757	0.07289	1.778e+04	0.151	protein modification by small protein conjugation
23	193	159	0.92902	0.20152	5.881e+03	0.06	lipid catabolic process
24	171	160	0.89081	0.23485	1.792e+03	0.723	chromosome organization
25	140	119	0.83495	0.13416	2.691e+03	0.075	mitochondrion organization
26	183	156	0.82508	0.28681	4.502e+03	0.423	monosaccharide metabolic process
27	197	156	0.8	0.4	7.111e+03	-0.012	regulation of I-kappaB kinase/NF-kappaB signaling
28	207	170	0.75422	0.36598	6.843e+03	0.001	DNA-templated transcription, initiation
29	324	274	0.74979	0.40324	1.446e+04	0.147	carbohydrate derivative biosynthetic process
30	49	46	0.72924	0.2473	1.442e+02	0.209	cell redox homeostasis
31	202	193	0.71132	0.26091	1.743e+03	0.163	RNA catabolic process
32	346	284	0.7	0.45826	1.886e+04	0.068	generation of precursor metabolites and energy
33	333	257	0.68513	0.43946	2.170e+04	0.054	response to other organism
34	429	338	0.68484	0.35963	3.341e+04	0.084	negative regulation of cellular protein metabolic process
35	147	116	0.67464	0.44785	4.031e+03	-0.009	dephosphorylation
36	206	155	0.67356	0.37107	9.041e+03	-0.004	ion transmembrane transport
37	347	299	0.66859	0.40373	1.495e+04	0.392	regulation of cell cycle process
38	252	230	0.6665	0.42091	5.168e+03	0.071	protein targeting
39	353	286	0.66111	0.43504	2.066e+04	0.158	nitrogen compound transport
40	40	39	0.64986	0.29126	4.082e+01	0.194	transcription from RNA polymerase III promoter
41	384	273	0.64358	0.45254	3.514e+04	0.022	ion homeostasis
42	251	189	0.64054	0.43454	1.333e+04	0.006	lymphocyte activation
43	213	157	0.63074	0.45384	1.017e+04	0.1	negative regulation of hydrolase activity
44	354	251	0.61903	0.30734	3.012e+04	0.057	organ morphogenesis
45	359	344	0.61405	0.42124	5.069e+03	0.177	mRNA processing
46	304	227	0.61325	0.43203	1.986e+04	-0.057	protein oligomerization
47	315	297	0.60626	0.44634	5.325e+03	0.65	organelle fission
48	283	278	0.6	0.4899	1.361e+03	0.338	ncRNA metabolic process
49	418	292	0.6	0.4899	4.296e+04	0.006	secretion
50	234	203	0.6	0.4899	6.620e+03	0.38	glycosylation
51	140	108	0.58722	0.3574	3.928e+03	0.436	xenobiotic metabolic process
52	453	379	0.57771	0.42172	2.935e+04	0.114	organonitrogen compound catabolic process
53	200	160	0.56966	0.45205	7.072e+03	0.073	protein maturation
54	183	162	0.5313	0.46702	3.562e+03	0.15	nucleocytoplasmic transport
55	190	147	0.51299	0.43006	7.128e+03	0.02	regulation of protein complex assembly
56	272	213	0.51098	0.49001	1.394e+04	0.012	protein localization
57	111	96	0.50694	0.49345	1.543e+03	0.163	cellular carbohydrate metabolic process
58	260	224	0.5	0.5	8.489e+03	0.281	gamete generation
59	465	344	0.5	0.5	4.672e+04	-0.021	regulation of cellular catabolic process
60	441	354	0.48844	0.48953	3.305e+04	0.068	lipid biosynthetic process
61	101	83	0.48062	0.41313	1.648e+03	0.072	sphingolipid metabolic process
62	73	72	0.47879	0.42892	7.339e+01	0.242	cellular component biogenesis
63	98	78	0.47758	0.4468	1.753e+03	0.569	epidermis development
64	203	169	0.47094	0.44253	6.207e+03	0.171	organelle assembly
65	215	168	0.46135	0.46589	8.827e+03	0.305	steroid metabolic process
66	80	61	0.45921	0.3413	1.339e+03	0.038	lipid homeostasis
67	157	121	0.4518	0.43717	4.943e+03	-0.016	cell projection assembly
68	224	163	0.44499	0.37687	1.157e+04	0.204	epithelial cell differentiation
69	282	223	0.4394	0.45586	1.450e+04	0.022	macromolecule localization
70	319	264	0.42168	0.42897	1.552e+04	0.014	carbohydrate derivative catabolic process
71	81	65	0.40782	0.33415	1.167e+03	0.091	carbohydrate transport
72	188	133	0.40589	0.42381	8.692e+03	-0.111	regulation of anatomical structure size
73	284	275	0.4006	0.41819	2.441e+03	0.179	RNA splicing
74	162	115	0.40022	0.48972	6.430e+03	-0.052	regulation of Ras GTPase activity
75	231	200	0.40013	0.48979	6.532e+03	0.382	protein glycosylation & macromolecule glycosylation
76	198	195	0.4	0.4899	5.787e+02	0.294	ncRNA processing
77	347	291	0.4	0.4899	1.724e+04	0.098	modification of morphology or physiology of other organism
78	156	98	0.3997	0.31954	7.287e+03	-0.009	cell-cell adhesion
79	337	234	0.38717	0.47548	2.849e+04	-0.049	secretion by cell
80	278	192	0.37572	0.38053	1.970e+04	-0.092	regulation of cell growth
81	293	199	0.36992	0.39099	2.251e+04	0.017	response to inorganic substance
82	308	281	0.36624	0.44425	7.698e+03	0.184	modification-dependent protein catabolic process
83	188	151	0.36154	0.4345	6.169e+03	0.077	protein processing
84	172	161	0.3603	0.25915	1.803e+03	0.635	DNA replication
85	292	275	0.35454	0.44147	4.673e+03	0.688	nuclear division
86	280	211	0.34143	0.34763	1.650e+04	0.153	anion transport
87	339	247	0.33786	0.42191	2.609e+04	0.043	embryonic morphogenesis
88	310	224	0.33403	0.44717	2.230e+04	-0.062	leukocyte activation
89	187	166	0.33043	0.44264	3.643e+03	0.152	nuclear transport
90	395	272	0.3274	0.41516	3.950e+04	0.039	regulation of secretion
91	382	294	0.32171	0.44793	2.863e+04	0.093	organic hydroxy compound metabolic process
92	133	112	0.31878	0.34845	2.548e+03	0.079	membrane lipid metabolic process
93	355	251	0.31159	0.45194	3.046e+04	0.004	cation homeostasis
94	423	303	0.30956	0.37969	4.180e+04	-0.136	regulation of defense response
95	321	292	0.30057	0.45788	8.592e+03	0.182	proteolysis involved in cellular protein catabolic process
96	260	239	0.3003	0.43318	5.101e+03	0.123	establishment of protein localization to organelle
97	356	280	0.3	0.45826	2.332e+04	0.084	regulation of proteolysis
98	271	215	0.29908	0.4482	1.326e+04	-0.002	glycerolipid metabolic process
99	137	116	0.29744	0.39831	2.629e+03	0.087	response to topologically incorrect protein
100	134	95	0.27742	0.37148	4.427e+03	-0.038	cell-cell junction organization
101	181	125	0.2772	0.35376	8.445e+03	0.1	detection of stimulus
102	363	294	0.27644	0.42663	2.185e+04	0.158	multicellular organismal reproductive process
103	104	87	0.27522	0.32839	1.615e+03	0.15	tube formation
104	313	218	0.26984	0.31543	2.450e+04	-0.122	regulation of sequence-specific DNA binding transcription factor activity
105	129	99	0.25971	0.29427	3.391e+03	0.101	maintenance of location
106	32	32	0.25904	0.37838	9.963e-01	0.31	ribosome biogenesis
107	380	326	0.25613	0.40731	1.832e+04	0.121	organophosphate biosynthetic process
108	32	23	0.25364	0.23159	2.522e+02	0.332	peripheral nervous system development
109	180	145	0.2465	0.3669	5.600e+03	-0.012	transcription initiation from RNA polymerase II promoter
110	69	57	0.24624	0.35876	7.575e+02	-0.069	autophagy
111	194	139	0.24414	0.31093	9.010e+03	-0.1	protein homooligomerization
112	206	144	0.24368	0.32565	1.066e+04	0.079	response to metal ion
113	341	255	0.2412	0.30619	2.479e+04	0.095	negative regulation of cellular component organization
114	321	278	0.21816	0.39459	1.246e+04	0.127	modification by symbiont of host morphology or physiology
115	184	145	0.21468	0.3507	6.315e+03	-0.053	regulation of apoptotic signaling pathway
116	34	29	0.21427	0.33398	1.604e+02	0.37	carbohydrate derivative transport
117	53	50	0.21097	0.28231	1.561e+02	0.102	vacuole organization
118	145	100	0.20183	0.27467	5.458e+03	-0.037	response to wounding
119	143	117	0.20004	0.39998	3.344e+03	0.004	positive regulation of I-kappaB kinase/NF-kappaB signaling
120	133	121	0.2	0.4	1.509e+03	0.125	electron transport chain
121	369	318	0.2	0.4	1.686e+04	0.112	interaction with host
122	224	166	0.19806	0.3869	1.109e+04	-0.039	defense response to other organism
123	392	277	0.19726	0.35464	3.704e+04	-0.019	positive regulation of protein kinase activity
124	73	69	0.19624	0.19392	2.847e+02	0.125	protein modification by small protein removal
125	380	277	0.19472	0.27906	3.261e+04	0.059	cell development
126	215	142	0.19067	0.34152	1.280e+04	0.135	epithelium development
127	412	294	0.18957	0.3397	4.002e+04	-0.016	positive regulation of kinase activity
128	302	276	0.18914	0.37814	7.279e+03	0.188	ubiquitin-dependent protein catabolic process
129	72	54	0.18813	0.25886	1.136e+03	0.285	cartilage development
130	234	167	0.1847	0.35434	1.316e+04	0.023	response to oxidative stress
131	314	271	0.18184	0.36594	1.218e+04	0.114	modulation by virus of host morphology or physiology
132	126	99	0.18092	0.32946	3.013e+03	-0.028	protein dephosphorylation
133	156	132	0.17934	0.29983	3.412e+03	0.252	anatomical structure homeostasis
134	60	59	0.17701	0.20786	6.059e+01	0.306	RNA modification
135	305	239	0.17192	0.34953	1.742e+04	0.106	alcohol metabolic process
136	89	72	0.1688	0.20769	1.365e+03	0.157	maintenance of location in cell
137	216	186	0.16753	0.32958	5.907e+03	0.096	regulation of translation
138	282	231	0.16671	0.34163	1.272e+04	0.076	sulfur compound metabolic process
139	229	155	0.16549	0.31463	1.393e+04	-0.142	regulation of immune effector process
140	293	195	0.16092	0.29472	2.329e+04	-0.099	regulation of cell morphogenesis
141	59	40	0.15841	0.24591	9.456e+02	0.213	epithelial cell migration
142	122	111	0.155	0.16641	1.271e+03	0.179	methylation
143	294	204	0.15361	0.27922	2.181e+04	-0.054	negative regulation of phosphorus metabolic process & negative regulation of phosphate metabolic process
144	80	59	0.14664	0.30937	1.459e+03	-0.047	regulation of phosphatase activity
145	312	285	0.14502	0.31502	7.798e+03	0.184	modification-dependent macromolecule catabolic process
146	166	117	0.14325	0.30504	6.846e+03	0.072	regulation of hormone secretion
147	54	35	0.14176	0.27184	8.516e+02	-0.071	actin filament-based movement
148	161	111	0.13819	0.23347	6.719e+03	-0.026	cell junction organization
149	88	61	0.13503	0.20726	2.009e+03	-0.018	negative regulation of cellular response to growth factor stimulus
150	142	102	0.13501	0.18206	4.832e+03	0.058	regulation of peptide transport
151	30	26	0.13134	0.12736	1.146e+02	0.025	membrane protein proteolysis
152	25	18	0.12916	0.15018	1.546e+02	-0.081	bone development
153	183	161	0.12678	0.22535	3.721e+03	0.419	post-translational protein modification
154	20	14	0.1267	0.25875	1.058e+02	0.547	calcium-independent cell-cell adhesion
155	245	218	0.12122	0.16481	6.099e+03	0.225	protein catabolic process
156	202	166	0.12075	0.29954	6.503e+03	0.077	response to virus
157	131	96	0.12066	0.21544	3.939e+03	0.108	developmental growth
158	305	241	0.11883	0.28529	1.696e+04	0.037	regulation of cellular response to stress
159	247	172	0.11328	0.29748	1.537e+04	-0.258	endocytosis
160	336	235	0.11073	0.29814	2.794e+04	-0.004	pattern specification process
161	177	127	0.11066	0.13014	7.493e+03	-0.142	ERBB signaling pathway
162	154	131	0.1103	0.1647	3.236e+03	0.211	hexose metabolic process
163	101	78	0.10999	0.13701	2.050e+03	0.02	neuron projection development
164	240	181	0.10971	0.29747	1.215e+04	0.159	organic anion transport
165	54	53	0.10617	0.20111	5.467e+01	0.273	ribonucleoprotein complex biogenesis
166	26	21	0.1048	0.12711	1.207e+02	0.019	vesicle docking
167	290	244	0.10278	0.29913	1.193e+04	0.317	regulation of mitotic cell cycle
168	236	202	0.10084	0.29973	7.277e+03	0.297	male gamete generation
169	220	151	0.10062	0.2998	1.256e+04	-0.071	regulation of GTPase activity
170	197	164	0.10024	0.29992	5.851e+03	0.041	glycerolipid biosynthetic process
171	235	201	0.1002	0.29994	7.245e+03	0.293	spermatogenesis
172	96	91	0.1	0.3	4.660e+02	0.1	respiratory electron transport chain
173	253	168	0.09894	0.13401	1.750e+04	-0.103	single-organism behavior
174	38	31	0.0983	0.17119	2.450e+02	1.478	digestion
175	354	290	0.09772	0.29316	1.988e+04	0.037	posttranscriptional regulation of gene expression
176	130	110	0.09625	0.193	2.378e+03	0.08	response to unfolded protein
177	184	167	0.09623	0.20917	2.933e+03	0.406	regulation of mitotic cell cycle phase transition
178	51	46	0.09552	0.17953	2.446e+02	0.139	ceramide metabolic process
179	82	67	0.09391	0.18792	1.116e+03	0.04	peptide metabolic process
180	154	114	0.0937	0.21519	5.298e+03	-0.007	MAPK cascade
181	263	176	0.09038	0.16337	1.866e+04	-0.074	regulation of small GTPase mediated signal transduction
182	140	101	0.08681	0.17362	4.655e+03	0.058	regulation of peptide secretion
183	238	186	0.08649	0.25948	1.078e+04	0.124	regulation of endopeptidase activity
184	277	224	0.08417	0.22829	1.292e+04	-0.061	immune response-activating signal transduction
185	343	261	0.08374	0.11053	2.394e+04	0.127	response to radiation
186	66	56	0.08373	0.16334	6.117e+02	0.055	tube closure
187	148	101	0.08311	0.19774	5.792e+03	-0.22	fibroblast growth factor receptor signaling pathway
188	152	116	0.08213	0.19254	4.769e+03	0.02	regulation of stress-activated protein kinase signaling cascade
189	119	101	0.08209	0.233	1.965e+03	-0.042	toll-like receptor signaling pathway
190	96	78	0.08107	0.2432	1.560e+03	0.189	steroid biosynthetic process
191	221	155	0.07972	0.23442	1.217e+04	-0.041	activation of protein kinase activity
192	212	143	0.07829	0.11159	1.203e+04	-0.101	response to decreased oxygen levels
193	42	28	0.0768	0.16275	4.960e+02	0.029	skeletal muscle tissue development
194	189	172	0.07648	0.22944	3.015e+03	0.43	regulation of cell cycle phase transition
195	216	170	0.07625	0.1389	8.705e+03	-0.1	regulation of innate immune response
196	150	95	0.07605	0.19627	6.670e+03	-0.174	regulation of cellular response to growth factor stimulus
197	31	18	0.07501	0.13015	3.251e+02	-0.212	muscle filament sliding & actin-myosin filament sliding
198	23	19	0.07398	0.11093	8.680e+01	0.091	vesicle docking involved in exocytosis
199	150	113	0.07339	0.10776	4.811e+03	0.103	lipid transport
200	166	134	0.07308	0.14681	4.734e+03	-0.079	positive regulation of innate immune response
201	140	102	0.07302	0.14917	4.554e+03	0.216	skeletal system development
202	92	68	0.07216	0.10674	1.915e+03	0.059	central nervous system development
203	23	21	0.07111	0.19242	4.589e+01	1.03	keratinization
204	231	205	0.07032	0.11034	5.540e+03	0.26	small molecule catabolic process
205	80	70	0.06933	0.13874	7.495e+02	0.093	cilium assembly & cilium organization
206	162	119	0.0684	0.09125	5.966e+03	-0.006	signal transduction by phosphorylation
207	80	51	0.06757	0.09619	1.901e+03	-0.1	regulation of lymphocyte mediated immunity
208	148	98	0.06681	0.12511	6.088e+03	-0.072	regulation of Ras protein signal transduction
209	232	202	0.06679	0.14168	6.364e+03	0.11	nucleoside phosphate catabolic process
210	180	121	0.06628	0.1406	8.755e+03	0.071	gland development
211	142	131	0.06536	0.14963	1.485e+03	0.242	nucleobase-containing compound transport
212	51	42	0.06533	0.12071	4.218e+02	0.134	negative regulation of phosphatase activity
213	246	192	0.06435	0.12406	1.156e+04	-0.052	cellular localization
214	166	108	0.06346	0.13126	7.850e+03	-0.252	cellular response to fibroblast growth factor stimulus
215	266	230	0.06139	0.10755	8.693e+03	0.105	organophosphate catabolic process
216	151	99	0.06038	0.06643	6.433e+03	-0.174	heart development
217	92	68	0.05919	0.07805	1.915e+03	0.13	negative regulation of neuron apoptotic process
218	53	39	0.05916	0.13895	6.486e+02	0.051	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
219	115	81	0.05895	0.10476	3.312e+03	0.179	ameboidal cell migration
220	361	258	0.05691	0.07091	3.079e+04	0.041	regulation of protein serine/threonine kinase activity
221	303	269	0.05627	0.12392	9.423e+03	0.566	cell division
222	33	24	0.05546	0.09688	2.612e+02	0.156	acute-phase response
223	111	101	0.05498	0.08197	1.053e+03	0.207	macromolecule methylation
224	44	28	0.05442	0.08713	5.826e+02	-0.153	regulation of cell killing
225	100	75	0.05308	0.11124	2.179e+03	-0.1	regulation of carbohydrate metabolic process
226	63	46	0.052	0.07267	9.302e+02	-0.11	negative regulation of transforming growth factor beta receptor signaling pathway
227	34	34	0.05166	0.08677	9.961e-01	0.25	regulation of DNA-templated transcription, elongation
228	224	149	0.05098	0.12143	1.372e+04	-0.121	response to oxygen levels
229	152	110	0.05049	0.15101	5.441e+03	-0.077	aminoglycan metabolic process
230	65	56	0.04908	0.12782	5.462e+02	0.146	positive regulation of nuclease activity
231	133	90	0.04795	0.10159	4.755e+03	-0.051	cell junction assembly
232	38	28	0.04779	0.07633	3.347e+02	0.338	excretion
233	90	61	0.04716	0.12492	2.186e+03	-0.188	regulation of transforming growth factor beta receptor signaling pathway
234	106	79	0.04546	0.13638	2.485e+03	-0.047	regulation of protein polymerization
235	137	98	0.0442	0.05953	4.541e+03	0.039	regulation of peptide hormone secretion
236	99	91	0.04395	0.07948	7.567e+02	0.172	antigen processing and presentation of peptide antigen via MHC class I
237	67	51	0.04227	0.05034	9.466e+02	-0.025	post-embryonic development
238	82	70	0.04204	0.08475	9.110e+02	0.022	glycolipid metabolic process
239	317	223	0.04179	0.08149	2.464e+04	-0.05	positive regulation of programmed cell death
240	137	111	0.04177	0.05747	3.192e+03	0.06	cellular amide metabolic process
241	71	68	0.04162	0.09403	2.093e+02	0.739	meiotic cell cycle process
242	366	311	0.0409	0.07235	1.792e+04	0.106	purine-containing compound metabolic process
243	307	226	0.04014	0.05831	2.096e+04	-0.04	embryo development
244	94	68	0.03995	0.11984	2.100e+03	-0.068	glycosaminoglycan biosynthetic process
245	81	56	0.03866	0.08581	1.712e+03	-0.018	response to calcium ion
