Creation Time:	2023-01-11 15:45:24

INPUT:
File name:	crfe_v019_b2.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human0.4_0.25_2_5_seed_3.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	2.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	10000
MCMC steps:	20000
Maximal value for alpha and beta:	0.375
Maximal possible value for alpha and beta:	0.375
Probability parameter change:	0.2
seed for RNG:	3607914078

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	4841
Proportion perturbed genes:	0.4136192754613807

OUTPUT:
Learnt parameters:
alpha (FPR):	0.375
beta (FNR):	0.22499999999999998
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-7938.141427014505 +- 1.8036637459510625

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	83	60	0.98207	0.0538	1.654e+03	0.212	0.473	GO:0017157
2	42	29	0.87606	0.15814	4.685e+02	0.288	0.355	GO:0031100
3	192	163	0.87182	0.20305	5.152e+03	0.408	0.369	GO:0010498
4	29	24	0.59975	0.32211	1.359e+02	0.398	0.4	GO:0031128
5	40	29	0.58186	0.34494	3.857e+02	0.114	0.555	GO:0006953
6	30	24	0.40052	0.32183	1.659e+02	0.373	0.4	GO:0045168
7	58	39	0.22028	0.28199	9.307e+02	0.072	0.541	GO:0002526
8	22	16	0.20127	0.2749	1.179e+02	0.304	0.419	GO:1901655
9	20	14	0.1308	0.12153	1.059e+02	0.211	0.397	GO:0051962
10	187	158	0.12871	0.2034	5.007e+03	0.406	0.366	GO:0043161
11	25	16	0.05508	0.08191	1.899e+02	0.151	0.42	GO:0031055
12	26	18	0.05097	0.13381	1.809e+02	0.033	0.592	GO:0018022
13	24	16	0.04762	0.0617	1.649e+02	0.117	0.567	GO:0009190
14	20	14	0.04723	0.10039	1.059e+02	0.172	0.532	GO:0052652
15	34	22	0.0455	0.07469	3.427e+02	0.154	0.483	GO:0033865
16	27	17	0.03501	0.09929	2.258e+02	0.153	0.319	GO:0050663
17	29	19	0.03428	0.05134	2.458e+02	0.149	0.455	GO:0043486
18	35	23	0.02484	0.05738	3.547e+02	0.124	0.49	GO:0043044
19	33	20	0.02232	0.0575	3.517e+02	0.143	0.357	GO:0051963
20	20	13	0.02069	0.02803	1.199e+02	0.127	0.482	GO:0009268
21	28	18	0.01707	0.05063	2.358e+02	0.131	0.503	GO:0046058
22	22	15	0.012	0.033	1.339e+02	0.222	0.407	GO:0046688
23	20	12	0.01023	0.02412	1.329e+02	0.123	0.394	GO:0033574
24	26	15	0.00905	0.0181	2.318e+02	0.09	0.37	GO:0014910
25	22	14	0.00832	0.01714	1.489e+02	0.168	0.397	GO:0044089
26	27	16	0.00777	0.02331	2.428e+02	0.054	0.61	GO:0034446
27	21	12	0.00726	0.01848	1.539e+02	0.018	0.473	GO:0090022
28	21	11	0.00674	0.01619	1.659e+02	0.03	0.375	GO:0071804
29	24	16	0.00659	0.01852	1.649e+02	0.011	0.547	GO:0035162
30	24	13	0.00471	0.00962	2.098e+02	0.019	0.457	GO:0003206
31	23	15	0.00355	0.00817	1.569e+02	0.194	0.393	GO:0006336
32	38	20	0.00334	0.00692	5.313e+02	0.032	0.389	GO:0007595
33	22	12	0.00323	0.0097	1.759e+02	0.015	0.438	GO:0003208
34	23	17	0.00304	0.0091	1.239e+02	0.233	0.471	GO:0045661
35	27	15	0.003	0.00898	2.588e+02	0.091	0.319	GO:0032570
36	24	14	0.00174	0.00524	1.959e+02	0.133	0.402	GO:0071514
37	27	15	0.00174	0.00524	2.588e+02	-0.001	0.486	GO:1903018
38	22	14	0.00166	0.00498	1.489e+02	0.173	0.399	GO:0048710
39	20	11	0.00165	0.00495	1.449e+02	0.09	0.448	GO:0090559
40	27	16	0.0015	0.00448	2.428e+02	0.002	0.532	GO:0007052
41	28	20	0.00139	0.00417	1.969e+02	0.181	0.5	GO:0017158
42	22	13	0.00111	0.00333	1.629e+02	-0.023	0.623	GO:0001909
43	20	12	0.0011	0.0033	1.329e+02	0.085	0.474	GO:0048477
44	23	12	0.00102	0.00306	1.988e+02	0.044	0.458	GO:0032689
45	31	18	0.001	0.003	3.257e+02	0.056	0.442	GO:0045600
46	88	50	0.00092	0.00274	2.635e+03	0.053	0.446	GO:1901654
47	27	13	0.00083	0.00249	2.887e+02	-0.072	0.414	GO:0046209
48	21	11	0.00078	0.00234	1.659e+02	0.02	0.517	GO:0045907
49	29	18	0.00072	0.00214	2.648e+02	0.035	0.593	GO:0061448
50	30	16	0.00059	0.00177	3.297e+02	0.068	0.412	GO:0008038
51	22	11	0.00057	0.00171	1.879e+02	0.016	0.472	GO:0015985
52	26	13	0.00057	0.00171	2.608e+02	0.069	0.523	GO:0050869
53	23	11	0.00056	0.00166	2.118e+02	-0.043	0.45	GO:0032504
54	21	14	0.0005	0.00149	1.269e+02	0.093	0.523	GO:0043300
55	24	16	0.00045	0.00135	1.649e+02	0.038	0.527	GO:0010712
56	34	17	0.00043	0.00129	4.425e+02	-0.065	0.517	GO:2001021
57	22	14	0.00041	0.00118	1.489e+02	0.145	0.498	GO:0019933
58	24	11	0.0004	0.00119	2.368e+02	-0.05	0.433	GO:0045687
59	23	14	0.00032	0.00097	1.719e+02	0.019	0.617	GO:0006071
60	22	12	0.00027	0.00082	1.759e+02	0.048	0.339	GO:0043567
61	20	11	0.00027	0.00082	1.449e+02	0.024	0.478	GO:2000779
62	28	13	0.00027	0.00081	3.177e+02	-0.083	0.55	GO:2001244
63	28	14	0.00026	0.00078	3.017e+02	0.055	0.385	GO:0045739
64	24	13	0.00024	0.00074	2.098e+02	0.023	0.563	GO:0001892
65	27	12	0.00018	0.00056	3.047e+02	-0.031	0.426	GO:0045933
66	20	12	0.00018	0.00054	1.329e+02	0.03	0.524	GO:0070371
67	22	12	0.00017	0.00051	1.759e+02	0.052	0.469	GO:0051181
68	30	16	0.00015	0.00045	3.297e+02	0.047	0.49	GO:0018149
69	39	20	0.00014	0.00042	5.703e+02	0.036	0.454	GO:0038032
70	22	9	0.00012	0.00036	2.148e+02	-0.054	0.434	GO:0001702
71	31	15	0.00012	0.00036	3.776e+02	-0.005	0.358	GO:0030318
72	31	16	0.00012	0.00034	3.606e+02	0.032	0.467	GO:0006730
73	41	25	0.00012	0.00034	5.364e+02	0.057	0.517	GO:0070542
74	36	20	8e-05	0.00025	4.565e+02	0.049	0.459	GO:0006821
75	23	9	6e-05	0.0002	2.408e+02	0.006	0.378	GO:0086001
76	21	11	3e-05	9e-05	1.659e+02	-0.016	0.489	GO:0010165
77	20	11	2e-05	8e-05	1.449e+02	0.015	0.4	GO:0043537
78	40	21	0.0	2e-05	5.892e+02	0.024	0.532	GO:0050772
