Creation Time:	2023-01-03 00:47:15

INPUT:
File name:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/result/real/crfe_v019_b2510.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/real/adeno_symbol.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	2
threshold type:	levels
belief:	10.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.2751189433021499
Maximal possible value for alpha and beta:	0.2751189433021499
Probability parameter change:	0.2
seed for RNG:	1959505141

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	1390
Total number of genes:	5752
Number of perturbed genes:	1397
Proportion perturbed genes:	0.24287204450625868

OUTPUT:
Learnt parameters:
alpha (FPR):	0.23385110180682744
beta (FNR):	0.2751189433021499
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-3376.882114417618 +- 0.46023204354117514

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	73	33	1.0	0.0	2.148e+03	2.793	0.38	GO:0002576
2	27	12	0.92542	0.20306	3.045e+02	3.269	0.301	GO:0010633
3	26	13	0.84395	0.31368	2.606e+02	3.471	0.367	GO:0001954
4	37	21	0.83726	0.22987	4.722e+02	2.84	0.427	GO:0046364
5	30	15	0.71753	0.24065	3.454e+02	2.617	0.434	GO:0045646
6	22	10	0.56284	0.24227	2.007e+02	2.593	0.383	GO:0034405
7	25	12	0.51585	0.20281	2.486e+02	3.291	0.359	GO:0030834
8	33	13	0.42946	0.20913	4.859e+02	3.105	0.304	GO:0051492
9	21	11	0.26578	0.10354	1.658e+02	3.566	0.364	GO:0030835
10	28	13	0.16811	0.20537	3.175e+02	3.022	0.375	GO:0007566
11	21	11	0.12978	0.17074	1.658e+02	3.566	0.364	GO:0051693
12	50	23	0.12227	0.26393	1.003e+03	2.769	0.462	GO:0010811
13	21	12	0.08298	0.10559	1.538e+02	3.012	0.447	GO:0007052
14	32	17	0.07683	0.12913	3.754e+02	2.855	0.395	GO:0019319
15	24	10	0.075	0.20214	2.516e+02	3.091	0.297	GO:0010596
16	53	27	0.07281	0.0816	1.051e+03	2.447	0.496	GO:0007051
17	30	15	0.05571	0.11127	3.454e+02	2.936	0.318	GO:0006096
18	37	13	0.04121	0.07328	6.473e+02	2.815	0.304	GO:0032231
19	20	8	0.03123	0.07689	1.808e+02	3.279	0.214	GO:0050926
20	25	11	0.02888	0.03572	2.636e+02	3.111	0.317	GO:0001569
21	24	10	0.0206	0.03201	2.516e+02	2.828	0.256	GO:0021954
22	36	15	0.01986	0.05439	5.577e+02	2.723	0.335	GO:0048844
23	49	20	0.01811	0.03062	1.038e+03	2.779	0.348	GO:0007569
24	24	11	0.01691	0.01966	2.367e+02	2.472	0.387	GO:0046456
25	23	10	0.01666	0.03324	2.257e+02	2.477	0.342	GO:0006636
26	32	14	0.0111	0.03331	4.292e+02	2.95	0.378	GO:1901880
27	31	16	0.00781	0.01563	3.604e+02	2.314	0.554	GO:0030397
28	31	14	0.00742	0.02225	3.953e+02	3.396	0.294	GO:1901888
29	29	12	0.00712	0.01512	3.663e+02	1.99	0.547	GO:0010770
