Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	186	117	1.0	0.0	1.046e+04	0.209	0.382	GO:2000116
2	44	23	0.96985	0.07236	7.143e+02	-0.011	0.54	GO:0035872
3	23	12	0.85003	0.24927	1.989e+02	0.048	0.364	GO:0051180
4	32	18	0.82514	0.31213	3.578e+02	0.029	0.519	GO:0030101
5	92	66	0.54847	0.41675	2.065e+03	0.246	0.406	GO:0019886
6	94	66	0.26282	0.29465	2.252e+03	0.228	0.406	GO:0002495
7	96	66	0.18124	0.3322	2.443e+03	0.206	0.406	GO:0002504
8	22	10	0.09839	0.1558	2.009e+02	-0.1	0.538	GO:0051181
9	23	10	0.04966	0.07684	2.259e+02	-0.001	0.355	GO:0042346
10	27	12	0.04835	0.10419	3.048e+02	-0.065	0.49	GO:0070423
11	37	21	0.0365	0.10652	4.726e+02	0.053	0.522	GO:0032651
12	175	108	0.02643	0.05543	9.486e+03	0.194	0.384	GO:0043281
13	63	41	0.02171	0.06513	1.155e+03	0.244	0.356	GO:0043154
14	168	77	0.01333	0.03999	1.121e+04	-0.018	0.403	GO:0002478
15	88	55	0.00982	0.02946	2.373e+03	0.17	0.425	GO:0097202
16	106	64	0.00722	0.02168	3.585e+03	0.167	0.399	GO:0043280
17	23	6	0.00699	0.02097	2.918e+02	-0.354	0.599	GO:0032504
18	66	44	0.00478	0.01432	1.221e+03	0.257	0.361	GO:2000117
19	83	51	0.00392	0.01178	2.158e+03	0.156	0.431	GO:0006919
20	22	7	0.00336	0.01009	2.458e+02	-0.208	0.438	GO:0060765
21	21	6	0.00323	0.0097	2.358e+02	-0.308	0.572	GO:0042573
22	20	8	0.00286	0.00856	1.809e+02	-0.11	0.453	GO:0072337
23	20	5	0.0026	0.00778	2.258e+02	-0.286	0.441	GO:0003341
24	25	7	0.00239	0.00717	3.337e+02	-0.258	0.431	GO:0010907
25	20	5	0.00059	0.00177	2.258e+02	-0.376	0.631	GO:0070271
