Gene ID	Gene Name	g3_g1.p-value	g3_g1.log2foldchange	g3_g2.p-value	g3_g2.log2foldchange
ENSG00000000003	TSPAN6	0.372409214037642	0.3	0.49624596642268	0.3
ENSG00000000005	TNMD	NA	0	NA	0.4
ENSG00000000419	DPM1	8.74570591735586e-12	1.3	1.59596243112261e-11	1.7
ENSG00000000457	SCYL3	1.83081591566728e-05	-1.6	8.38404508369309e-06	-1.8
ENSG00000000460	C1orf112	0.871788508762401	-0.1	0.00725555017611721	1
ENSG00000000938	FGR	NA	-0.2	NA	-0.3
ENSG00000000971	CFH	0.0723196030060308	0.7	0.879865690425122	0.1
ENSG00000001036	FUCA2	0.170558965174735	0.7	0.562031685588807	0.4
ENSG00000001084	GCLC	0.165895841697775	-0.4	0.0100012255391888	-1
ENSG00000001167	NFYA	0.202892074911821	-0.4	0.000817890935479283	-1.1
ENSG00000001460	STPG1	2.08243831786365e-06	-1.9	1.77064751288776e-06	-2
ENSG00000001461	NIPAL3	0.870252471018445	0	0.052917695165134	-0.7
ENSG00000001497	LAS1L	0.739224977933436	-0.1	0.0687363537368004	0.5
ENSG00000001561	ENPP4	NA	0	NA	0
ENSG00000001617	SEMA3F	1.46018765475289e-05	1.7	0.00174579330894666	1.1
ENSG00000001626	CFTR	0.823105210138562	0.3	0.456896330120359	-1
ENSG00000001629	ANKIB1	8.17495565493616e-06	0.9	0.604776974381143	-0.2
ENSG00000001630	CYP51A1	0.305364474613114	0.5	0.272131677648582	0.6
ENSG00000001631	KRIT1	0.454904860520451	-0.3	0.666647246306661	0.2
ENSG00000002016	RAD52	6.28877147159035e-08	-1.6	0.048557951454725	-0.9
ENSG00000002079	MYH16	0.161130295974995	-0.9	0.00760619632620002	-1.8
ENSG00000002330	BAD	0.000591979547059109	-1.6	0.380178240198205	0.6
ENSG00000002549	LAP3	0.6225936602158	0.1	0.650397600507964	0.2
ENSG00000002586	CD99	0.024848895667722	0.8	0.0311417353717055	1.1
ENSG00000002587	HS3ST1	0.0844047173367869	-1.7	0.882516189586663	-0.1
ENSG00000002726	AOC1	NA	0	NA	-0.4
ENSG00000002745	WNT16	0.865690187310874	-0.2	0.15321478198774	-1.7
ENSG00000002746	HECW1	0.543337108538536	0.2	0.122108047438317	-0.7
ENSG00000002822	MAD1L1	0.7661028604403	-0.1	0.852342440677644	-0.1
ENSG00000002834	LASP1	0.189043255690354	0.3	0.414501544315581	-0.3
ENSG00000002919	SNX11	0.0452687905240851	-0.8	0.0461082511413632	0.8
ENSG00000002933	TMEM176A	NA	0	NA	0
ENSG00000003056	M6PR	0.561443443574449	0.2	0.000264226157067398	1.1
ENSG00000003096	KLHL13	0.037074560492653	0.9	0.877349740687481	0.1
ENSG00000003137	CYP26B1	0.26112974132984	0.6	0.339780718540359	0.6
ENSG00000003147	ICA1	0.000499209274073656	2	0.744985002794146	0.3
ENSG00000003249	DBNDD1	0.444624270132113	0.3	0.487577794440179	-0.4
ENSG00000003393	ALS2	0.50915455133273	-0.2	0.313128010320054	-0.4
ENSG00000003400	CASP10	0.881369281867948	0.1	0.600054095758424	-0.4
ENSG00000003402	CFLAR	0.00486188489228361	-0.7	0.819138846991186	0.1
ENSG00000003436	TFPI	0.0108723644159589	0.8	0.914833470712605	-0.1
ENSG00000003509	NDUFAF7	0.0206289763349474	-0.9	0.450703470709406	0.3
ENSG00000003756	RBM5	0.938500500589426	0	0.947307338225502	0
ENSG00000003987	MTMR7	0.0118398491231855	-0.8	0.993646942513987	0
ENSG00000003989	SLC7A2	0.00062653034167304	0.9	0.80856741232057	-0.1
ENSG00000004059	ARF5	0.526496546619035	0.4	0.0697004840969159	1.1
ENSG00000004139	SARM1	0.0104058180695577	-1.2	0.000690307743171435	-1.5
ENSG00000004142	POLDIP2	0.251880544875062	0.4	0.000420299130989741	1.2
ENSG00000004399	PLXND1	0.193048492698047	0.4	0.240441822728244	-0.4
ENSG00000004455	AK2	0.942516729496892	0	0.251592040200576	-0.4
ENSG00000004468	CD38	0.0469763011893578	2.4	NA	0.4
ENSG00000004478	FKBP4	0.361370630551022	0.2	0.834065597140665	0.1
ENSG00000004487	KDM1A	0.103256847094381	0.4	0.665101720397978	-0.2
ENSG00000004534	RBM6	0.0465493505734427	0.4	0.557265285765601	0.2
ENSG00000004660	CAMKK1	8.20849057987191e-07	-1.8	4.22921080312512e-10	-2.5
ENSG00000004700	RECQL	0.234012616977995	0.4	0.0724782087454339	0.5
ENSG00000004766	VPS50	0.93785070010873	0	0.613550259614766	-0.3
ENSG00000004776	HSPB6	0.00519423609116072	-2.8	0.239538650518208	-1
ENSG00000004777	ARHGAP33	0.124484395026008	0.7	0.797737692535039	-0.2
ENSG00000004779	NDUFAB1	0.00687880109201952	0.8	4.46884603957505e-06	1.6
ENSG00000004799	PDK4	0.0105015146510737	-1.3	0.00288662428337792	-1.9
ENSG00000004809	SLC22A16	0.0157232547913915	3.1	0.065511543498302	2.5
ENSG00000004838	ZMYND10	1.3501732718496e-18	-3.9	0.000200073987835723	-2.3
ENSG00000004846	ABCB5	NA	0.2	NA	0.2
ENSG00000004848	ARX	0.802202869183335	0.2	0.493820787833831	-0.7
ENSG00000004864	SLC25A13	0.235187189666667	0.4	0.566819524065822	-0.3
ENSG00000004866	ST7	0.32814366206756	-0.3	0.0432520002390596	-0.9
ENSG00000004897	CDC27	0.000367167229785524	0.8	0.813622654405716	-0.1
ENSG00000004939	SLC4A1	0.209618518225364	1.8	NA	0.5
ENSG00000004948	CALCR	NA	0.4	NA	0
ENSG00000004961	HCCS	0.787671185245233	-0.1	5.33912563091549e-07	1.2
ENSG00000004975	DVL2	0.456018750922723	-0.2	0.641722765074298	0.2
ENSG00000005001	PRSS22	NA	-0.2	0.653715673025015	0.7
ENSG00000005007	UPF1	0.0105790153166069	0.7	0.190224234153279	0.4
ENSG00000005020	SKAP2	0.362674225143843	0.4	0.459898355716017	0.3
ENSG00000005022	SLC25A5	0.0798619649472667	0.8	0.0488980891724386	1
ENSG00000005059	MCUB	0.762984784635779	0.2	0.853882844970797	-0.1
ENSG00000005073	HOXA11	3.58534844884136e-08	-4.2	0.0443617004103027	-1.2
ENSG00000005075	POLR2J	0.309144759768344	0.5	0.00309279466682283	1.4
ENSG00000005100	DHX33	0.165170152543196	0.3	0.919998869041928	-0.1
