Gene ID	Gene Name	Design Element	g5_g1.p-value	g5_g1.t-statistic	g5_g1.log2foldchange	g6_g2.p-value	g6_g2.t-statistic	g6_g2.log2foldchange	g7_g3.p-value	g7_g3.t-statistic	g7_g3.log2foldchange	g8_g4.p-value	g8_g4.t-statistic	g8_g4.log2foldchange
ENSG00000000003	TSPAN6	209108_at	0.0202278017615793	3.75652666937766	0.6	0.00271751682496684	4.00002127563147	0.8	0.273615940703855	1.53597524675569	0.2	0.0114276721171898	3.34397521343239	0.4
ENSG00000000005	TNMD	220065_at	NA	-1.06658450381384	-0.1	NA	1.30140164845061	0.1	NA	-1.44850484319108	-0.1	0.970617795442191	-0.0661672368887484	0
ENSG00000000419	DPM1	202673_at	NA	-2.00634664294934	-0.1	0.0119879747013621	-3.24549561412657	-0.2	NA	-1.25825162005337	-0.1	0.811037858419735	-0.36691118259786	0
ENSG00000000457	SCYL3	205607_s_at	NA	-0.304617744865251	0	0.284611021060098	-1.41995514091161	-0.1	NA	-2.05528376005937	-0.1	0.402259955205525	-1.15298819584409	-0.1
ENSG00000000460	C1orf112	220840_s_at	NA	1.83766151183887	0.1	0.703615886350367	0.543597510115865	0	NA	1.43612274719599	0.1	0.17430838365205	1.80149819294058	0.1
ENSG00000000938	FGR	208438_s_at	0.0672669411717676	2.28651392525494	0.3	0.0238144564622646	2.90697424403136	0.4	0.0554246429676876	2.97584864550518	0.4	0.0571913783464242	2.49286691829519	0.3
ENSG00000000971	CFH	213800_at	0.42533872910473	0.945710055484131	0.2	0.0137317731218942	3.17976202387907	0.6	0.576093205605108	0.791473674745731	0.2	0.87322488569067	0.252476205056189	0.1
ENSG00000001036	FUCA2	223120_at	0.116363707042118	1.89500030135787	0.2	0.974162359953047	0.048923342584273	0	0.915208262606509	0.163314831310011	0	0.450738260571806	1.04624289105258	0.1
ENSG00000001084	GCLC	202923_s_at	0.242674637932275	1.38394991257115	0.1	0.79759202005364	-0.377685630741532	0	0.703955485603822	-0.552383638487595	-0.1	0.319500128640829	1.34961384069308	0.1
ENSG00000001167	NFYA	204108_at	NA	0.576034029204514	0	0.936499992475105	-0.123009821394152	0	NA	1.40145112988372	0.1	0.387236656961473	1.18617690466021	0.1
ENSG00000001460	STPG1	227694_at	NA	-1.50279223406899	-0.1	0.393685176859176	-1.15009041910232	-0.1	NA	1.11405259353838	0.1	0.953082463898284	-0.0984378668291846	0
ENSG00000001461	NIPAL3	225876_at	0.497216917606452	0.809319244715587	0.1	0.277445762169578	-1.44025533872201	-0.2	0.387334327035672	1.20709907437321	0.1	0.413189791951799	1.12833005607764	0.1
ENSG00000001497	LAS1L	208117_s_at	0.0216154883549965	3.43470460065446	0.3	0.133462431290528	1.947706922902	0.1	0.44356343132618	1.06684745704128	0.1	0.236377446497822	1.58285761330958	0.1
ENSG00000001561	ENPP4	204160_s_at	0.708996357225032	-0.45624999983727	-0.1	0.214764550250509	-1.62680516306568	-0.2	0.785453636567294	-0.401361559651626	0	0.574607516394332	0.798411248672649	0.1
ENSG00000001617	SEMA3F	35666_at	NA	-0.212228899135422	0	0.533141004819166	0.861899394781089	0.1	NA	1.00072963529394	0.1	0.294175997719286	1.41698466753394	0.1
ENSG00000001626	CFTR	205043_at	NA	0.578962532970591	0	0.219110632893385	1.61321485721404	0.1	NA	0.326959130137208	0	0.891094769072432	-0.219062334614199	0
ENSG00000001629	ANKIB1	224682_at	0.0494210943677992	2.52335278211647	0.3	0.387994839325476	1.16279176719291	0.1	0.508375954627244	0.925762648082588	0.1	0.0461310560459421	2.61281050578062	0.2
ENSG00000002016	RAD52	205647_at	0.0893824283229569	2.07895795231794	0.2	0.626289820442211	0.682764091829666	0.1	0.111139303918763	2.32979162561074	0.3	0.0159458373941549	3.1823341150998	0.4
ENSG00000002079	MYH16	1564072_at	NA	-2.59303494896951	-0.1	NA	0.914984922825811	0	NA	-0.0148540077352874	0	NA	-0.272981203006956	0
ENSG00000002330	BAD	209364_at	NA	-1.81599943604855	-0.1	0.659868459174555	-0.623481833098758	0	NA	-2.09109661915738	-0.1	0.0598492660004369	-2.46756625358561	-0.1
ENSG00000002549	LAP3	217933_s_at	0.12558271504002	1.84374704291689	0.2	0.460163194981192	1.00646888018604	0.1	0.969459005644243	0.0587796899551421	0	0.546853145927516	0.851546898991702	0.1
ENSG00000002586	CD99	201029_s_at	0.0202278017615793	3.780828471068	0.9	0.00107108047120459	4.50504460796738	0.8	0.0422484192431615	3.20476820714403	0.6	0.011377199327687	3.34757722670727	0.6
ENSG00000002587	HS3ST1	205466_s_at	0.0941117699757276	-2.04305077341265	-0.2	0.266269977112482	-1.47158499499057	-0.2	0.932178575588163	-0.130856350205419	0	0.612078568634223	-0.730902611177033	-0.1
ENSG00000002726	AOC1	203559_s_at	NA	-0.482591298313965	0	NA	0.870472888893876	0	NA	-0.330900322283139	0	NA	-1.2123022275737	-0.1
ENSG00000002745	WNT16	221113_s_at	NA	-1.3180558867719	-0.1	NA	-0.618847208122509	0	NA	0.498815767114121	0	0.179780714205554	-1.77945616828772	-0.1
ENSG00000002746	HECW1	210331_at	0.0459488481329283	-2.5965633793084	-0.6	0.0647751798888697	-2.3779719276884	-0.5	0.594139387416641	-0.756406563929716	-0.1	0.00524396798448619	-3.74780518777867	-0.6
ENSG00000002834	LASP1	200618_at	NA	-1.10079832342642	-0.1	0.852142786855509	-0.278341835469051	0	NA	-1.79948211824102	-0.1	0.132198944655545	-1.98454073659527	-0.1
ENSG00000002919	SNX11	220140_s_at	NA	-2.44065323981677	-0.1	NA	-1.40738749167104	-0.1	NA	-1.47552393557388	-0.1	NA	-1.90806696580113	-0.1
ENSG00000002933	TMEM176A	218345_at	0.0255111114688819	3.15416852979873	0.5	0.00710813197512892	3.50797816183849	0.5	0.10504658971358	2.38965054018205	0.3	0.0208555674170499	3.03703370015582	0.4
ENSG00000003056	M6PR	200901_s_at	NA	-0.406588358703121	0	0.268180629938093	-1.46616084502438	-0.1	NA	-1.53475231102504	-0.1	0.209853207282676	-1.66657123444866	-0.1
ENSG00000003096	KLHL13	227875_at	0.311989920334188	1.1963928492785	0.2	0.111378860722296	-2.06150971882161	-0.4	NA	1.07070086286173	0.1	0.666519033796807	0.631563161143218	0.1
ENSG00000003137	CYP26B1	219825_at	0.0416515624320518	-2.68412024503294	-0.8	0.0279974701573237	-2.82244411043004	-0.8	0.041697014048327	-3.23293144604543	-0.6	0.0018925480288365	-4.27281164776804	-0.7
ENSG00000003147	ICA1	210547_x_at	0.0437651282843969	-2.64628173486913	-0.4	0.00316545233749208	-3.92035517206358	-0.5	0.0661086375309653	-2.78774770433802	-0.4	0.000691924723876687	-4.82140463229475	-0.5
ENSG00000003249	DBNDD1	222234_s_at	0.0495353921801823	-2.51964917385285	-0.3	0.0513697925260445	-2.50788428762149	-0.3	0.276801971589935	-1.52334101366047	-0.1	0.120608757904958	-2.0423557032512	-0.2
