Creation Time:	2022-08-30 17:55:40

INPUT:
Annotations file:	data/GOhuman_ft_named.txt
Gene file:	data/GSE87340_tumor_normal_log2fc-overexp.txt
lower limit annotations/process:	20
upper limit annotations/process:	500
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.45000000000000007
threshold type:	proportion
belief:	10
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	1
burnin steps:	5000
MCMC steps:	50000
Maximal value for alpha and beta:	0.3548387096774194
Maximal possible value for alpha and beta:	0.3548387096774194
Probability parameter change:	0.2
seed for RNG:	4120807987

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2506
Total number of genes:	12189
Number of perturbed genes:	5485
Proportion perturbed genes:	0.4499958979407663

OUTPUT:
Learnt parameters:
alpha (FPR):	0.1064516129032258
beta (FNR):	0.24838709677419354
q (penalization parameter):	0.007980845969672785


Best log-likelihood value (mean +- standard deviation across replicates):	-10584.208292572528 +- 0.0

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Term Name
1	150	104	1.0	0.0	5.847e+03	0.324	G1/S transition of mitotic cell cycle & cell cycle G1/S phase transition
2	162	75	1.0	0.0	1.034e+04	0.009	aminoglycan metabolic process
3	376	202	1.0	0.0	4.978e+04	0.056	generation of precursor metabolites and energy
4	363	221	1.0	0.0	4.113e+04	0.241	DNA repair
5	255	212	1.0	0.0	1.003e+04	0.31	translation
6	188	116	1.0	0.0	1.093e+04	0.142	protein folding
7	395	228	1.0	0.0	5.151e+04	0.213	cellular amino acid metabolic process
8	130	76	1.0	0.0	5.569e+03	0.12	response to unfolded protein
9	464	216	1.0	0.0	8.333e+04	0.051	multicellular organismal development
10	46	22	1.0	0.0	8.296e+02	0.056	excretion
11	425	185	1.0	0.0	7.293e+04	-0.0	sensory perception
12	149	88	1.0	0.0	7.229e+03	0.096	nucleobase-containing compound transport
13	402	170	1.0	0.0	6.643e+04	-0.102	metal ion transport
14	429	238	1.0	0.0	6.297e+04	0.154	cellular macromolecular complex assembly
15	190	122	1.0	0.0	1.059e+04	0.317	post-translational protein modification
16	170	93	1.0	0.0	1.011e+04	0.061	Golgi vesicle transport
17	437	184	1.0	0.0	7.858e+04	-0.103	ion homeostasis
18	184	112	1.0	0.0	1.064e+04	0.319	chromosome organization
19	234	96	1.0	0.0	2.309e+04	-0.162	response to oxygen levels
20	87	38	0.97846	0.0	3.114e+03	0.064	neuropeptide signaling pathway
21	175	115	0.97532	0.0	8.694e+03	0.365	DNA replication
22	440	224	0.9728	0.0	7.078e+04	0.049	monocarboxylic acid metabolic process
