Creation Time:	2022-09-09 15:26:12

INPUT:
Annotations file:	data/GOhuman_ft_named.txt
Gene file:	data/GSE87340_tumor_normal_log2fc-overexp.txt
lower limit annotations/process:	20
upper limit annotations/process:	500
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	4.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	1
burnin steps:	5000
MCMC steps:	50000
Maximal value for alpha and beta:	0.3548387096774194
Maximal possible value for alpha and beta:	0.3548387096774194
Probability parameter change:	0.2
seed for RNG:	1896996618

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2506
Total number of genes:	12189
Number of perturbed genes:	6430
Proportion perturbed genes:	0.5275248174583641

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3548387096774194
beta (FNR):	0.3548387096774194
q (penalization parameter):	0.007980845969672785


Best log-likelihood value (mean +- standard deviation across replicates):	-8754.347441067246 +- 0.0

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Term Name
1	155	91	1.0	0.0	7.751e+03	0.295	skeletal system development
2	66	38	1.0	0.0	1.459e+03	0.061	aminoglycan catabolic process
3	363	261	1.0	0.0	3.032e+04	0.241	DNA repair
4	97	73	1.0	0.0	2.026e+03	0.513	nucleosome assembly
5	255	235	1.0	0.0	4.724e+03	0.31	translation
6	188	130	1.0	0.0	9.021e+03	0.142	protein folding
7	395	265	1.0	0.0	4.074e+04	0.213	cellular amino acid metabolic process
8	425	214	1.0	0.0	6.405e+04	-0.0	sensory perception
9	270	141	1.0	0.0	2.570e+04	0.008	organic anion transport
10	20	12	1.0	0.0	1.327e+02	0.586	calcium-independent cell-cell adhesion
11	289	234	1.0	0.0	1.382e+04	0.229	ncRNA metabolic process
12	190	135	1.0	0.0	8.738e+03	0.317	post-translational protein modification
13	97	83	0.95784	0.0	1.250e+03	0.152	respiratory electron transport chain
14	230	112	0.94794	0.0	1.969e+04	0.155	regionalization
15	226	147	0.90916	0.0	1.434e+04	0.349	mitotic nuclear division
16	137	92	0.8974	0.0	5.083e+03	0.133	response to topologically incorrect protein
17	291	171	0.89648	0.0	2.676e+04	0.153	spermatogenesis
18	238	116	0.88134	0.0	2.105e+04	0.111	epithelium development
19	57	34	0.8746	0.0	1.051e+03	0.495	digestion
20	402	196	0.85662	0.0	5.875e+04	-0.102	metal ion transport
21	234	149	0.85146	0.0	1.583e+04	0.115	cofactor metabolic process
22	25	15	0.84738	0.0	2.054e+02	0.404	tumor necrosis factor-mediated signaling pathway
23	40	32	0.82494	0.0	2.914e+02	0.481	purine nucleobase metabolic process
24	399	191	0.82132	0.0	5.861e+04	-0.089	cation homeostasis
25	149	98	0.81732	0.0	6.202e+03	0.096	nucleobase-containing compound transport
26	303	152	0.73844	0.0	3.317e+04	0.074	extracellular matrix organization
27	113	55	0.73218	0.0	4.840e+03	0.064	neuron development
28	46	23	0.70542	0.0	8.016e+02	0.056	excretion
29	380	268	0.7051	0.0	3.450e+04	0.327	mitotic cell cycle
30	37	23	0.69574	0.0	4.260e+02	0.099	neural precursor cell proliferation
31	48	37	0.68458	0.0	4.709e+02	0.206	establishment of protein localization to mitochondrion
32	150	115	0.64846	0.0	4.560e+03	0.324	G1/S transition of mitotic cell cycle & cell cycle G1/S phase transition
33	154	73	0.64522	0.0	9.086e+03	-0.093	xenobiotic metabolic process
34	221	106	0.64264	0.0	1.839e+04	-0.151	response to decreased oxygen levels
35	175	127	0.64048	0.0	7.101e+03	0.365	DNA replication
36	250	123	0.60934	0.0	2.304e+04	0.107	epithelial cell differentiation
37	38	19	0.58426	0.0	5.495e+02	0.082	peripheral nervous system development
38	24	18	0.52654	0.0	1.296e+02	0.355	alditol metabolic process
39	59	36	0.50186	0.0	1.097e+03	0.418	cell fate specification
40	26	15	0.49546	0.0	2.313e+02	0.274	ephrin receptor signaling pathway
41	20	13	0.47904	0.0	1.197e+02	0.629	positive regulation of tissue remodeling
42	111	80	0.47838	0.0	2.933e+03	0.334	carbohydrate catabolic process
43	105	75	0.44422	0.0	2.678e+03	0.333	single-organism carbohydrate catabolic process
44	76	45	0.39252	0.0	1.874e+03	0.342	epidermal cell differentiation
45	105	70	0.3756	0.0	3.039e+03	0.168	nucleoside biosynthetic process
