Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
1	20	17	1.0	0.0	5.798e+01	0.388	0.406	GO:0030902
2	40	29	0.99391	0.01827	3.857e+02	0.272	0.39	GO:0006383
3	161	94	0.90816	0.26249	8.539e+03	0.072	0.459	GO:0070613
4	40	24	0.72636	0.27289	5.204e+02	0.07	0.47	GO:0006953
5	66	48	0.7152	0.4368	1.035e+03	0.213	0.445	GO:0007043
6	104	58	0.66118	0.3611	3.739e+03	0.085	0.462	GO:0090316
7	117	64	0.6585	0.4194	4.807e+03	0.045	0.446	GO:0030178
8	30	19	0.61004	0.24777	2.758e+02	0.212	0.392	GO:0018149
9	85	45	0.60442	0.34361	2.614e+03	0.019	0.47	GO:0050864
10	57	31	0.58668	0.41997	1.156e+03	0.072	0.424	GO:0055092
11	32	21	0.58572	0.2158	2.978e+02	0.114	0.461	GO:0045931
12	34	20	0.36076	0.26766	3.856e+02	0.073	0.47	GO:0051865
13	25	16	0.34861	0.26752	1.899e+02	0.143	0.456	GO:0030206
14	35	21	0.34333	0.23429	3.996e+02	0.138	0.491	GO:0043044
15	34	20	0.32839	0.33704	3.856e+02	0.119	0.404	GO:0034121
16	82	44	0.31628	0.23366	2.408e+03	0.014	0.517	GO:0071158
17	89	45	0.31466	0.41925	2.962e+03	0.056	0.415	GO:0055088
18	23	14	0.28591	0.24979	1.719e+02	0.068	0.49	GO:0002026
19	40	22	0.27588	0.30126	5.673e+02	0.029	0.431	GO:0016126
20	117	56	0.27578	0.25488	5.296e+03	0.006	0.417	GO:0000904
21	36	18	0.26434	0.17022	4.954e+02	0.009	0.375	GO:0006584
22	93	49	0.24373	0.28588	3.138e+03	0.032	0.434	GO:0031098
23	23	16	0.24229	0.17132	1.409e+02	0.16	0.49	GO:0045930
24	22	12	0.21963	0.21576	1.759e+02	0.151	0.218	GO:0032728
25	51	30	0.20359	0.23647	8.608e+02	0.012	0.502	GO:2001252
26	34	19	0.1929	0.18815	4.056e+02	0.04	0.435	GO:0006695
27	183	97	0.18293	0.31305	1.202e+04	0.044	0.467	GO:0051222
28	27	17	0.15177	0.15725	2.258e+02	0.088	0.515	GO:0034446
29	148	75	0.14958	0.3025	8.138e+03	-0.007	0.459	GO:0045216
30	75	37	0.13966	0.15368	2.144e+03	-0.007	0.414	GO:0001889
31	146	78	0.1305	0.30376	7.617e+03	0.024	0.452	GO:0034329
32	56	30	0.12725	0.15212	1.130e+03	0.055	0.503	GO:0016266
